time,chw_total,hw_total,hw_kl,chw_kl,hw_cob,chw_cob,hw_SE1,chw_SE1,hw_SE2,chw_SE2,hw_SSB,chw_SSB,hw_SSM,chw_SSM,hw_SAAC,chw_SAAC,total_sunpower_kwh
2017-12-29 6:30:00,171.3230092,201.4196262,21.8,42.4,9.3,14.7,147.5,82.4,0,9.00225,13.76,NULL,NULL,NULL,NULL,NULL,4863.202475
2017-12-29 6:15:00,124.9038364,199.9799161,-0.1,0,51.6,14.8,136.8,84.6,0,12.6031,15.2,NULL,NULL,NULL,NULL,NULL,5949.362483
2017-12-29 6:00:00,134.3336812,214.1799178,13.2,7,45.5,15.1,144.8,84.6,0,12.6031,14.56,NULL,NULL,NULL,NULL,NULL,2412.749994
2017-12-29 5:45:00,126.2135039,149.2796822,-0.1,0,0,14.9,127.7,85.7,0,10.8027,14.88,NULL,NULL,NULL,NULL,NULL,917.1949976
2017-12-29 5:30:00,212.2102119,235.3396426,11.9,36.4,2.1,14.9,149.2,86.5,0,9.90247,12.96,NULL,0.1,0.1,7.1,9,4758.520024
2017-12-29 5:15:00,212.2007125,271.5997766,12.5,31.7,47.3,14.8,132.1,87.6,0,11.7029,12.64,NULL,0.1,0.1,21.6,8.5,5816.725038
2017-12-29 5:00:00,244.8497863,254.9197851,12.4,52.3,47.2,14.8,124.2,84.3,9.6,12.6031,12.8,NULL,0.1,0.1,21.6,9,474.6050036
2017-12-29 4:45:00,192.0645444,228.8598333,26.2,8.6,0,14.8,139.8,83.5,0,15.3038,13.12,NULL,0.1,0.1,9.4,9,4427.897468
2017-12-29 4:30:00,178.7578234,230.1996633,23.3,13,0,14.8,129.4,81.6,13.2,0,12.8,NULL,0.1,0.1,4.8,9,4437.672479
2017-12-29 4:15:00,239.7695733,295.299676,15.8,45.3,45.7,14.8,159.3,84.1,8.4,10.8027,12.64,NULL,0.1,10.5,21.6,9,1055.077503
2017-12-29 4:00:00,183.7903113,274.3396015,14.9,0,47.1,14.6,129.4,85.2,12.9,9.90247,12.8,NULL,0.1,8.8,5.6,9,1641.002496
2017-12-29 3:45:00,194.3232258,214.6597286,15.4,20.9,0,14.8,119.2,84.1,0,9.90247,13.44,NULL,0.1,0.1,21.6,9,342.2450012
2017-12-29 3:30:00,231.7106584,232.4197904,-0.1,50.1,11,14.8,162.3,84.6,12.6,11.7029,12.8,NULL,0.1,0.1,4,9,425.2299989
2017-12-29 3:15:00,179.9876727,303.4597302,-0.1,0,45.9,14.9,199.7,86.3,0,0,12.96,NULL,0.1,12.1,9.4,9,352.2875001
2017-12-29 3:00:00,193.0516327,309.5196839,29.7,9.7,4,14.8,182.4,86.3,12.9,15.3038,12.8,NULL,0.1,0.1,21.6,9,633.5400026
2017-12-29 2:45:00,234.7396077,248.4197925,6.9,54.5,0,14.8,181.3,85.2,0,11.7029,13.28,NULL,0.1,0.1,20.8,9,647.929998
2017-12-29 2:30:00,197.5839912,270.059931,31.5,0,44.3,14.9,140.1,83.5,11.1,13.5034,12.16,NULL,0.1,12.2,6.3,9,3248.075007
2017-12-29 2:15:00,191.8603514,252.4996711,13.3,9.3,47.1,14.9,125.5,89,0,10.8027,13.12,NULL,0.1,0.1,7.1,9,397.0975017
2017-12-29 2:00:00,233.2007622,196.7798134,0,51.6,8.6,14.9,127.7,85.7,0,12.6031,13.28,NULL,0.1,0.1,20.8,9,466.0974985
2017-12-29 1:45:00,188.0400565,178.8197576,0,0,0,14.9,130.5,86,0,9.90247,13.6,NULL,0.1,12.1,4,9,560.4025033
2017-12-29 1:30:00,204.9700243,236.7396794,13.4,6.7,45.7,15.1,113.5,84.9,0,9.00225,12.96,NULL,0.1,12.1,4,8.5,1369.284977
2017-12-29 1:15:00,211.8098168,201.479882,-0.1,37,45.6,14.8,118.4,84.6,0,12.6031,13.44,NULL,0.1,0.1,5.6,9,3296.525035
2017-12-29 1:00:00,188.0705259,151.6398427,-0.1,9.9,7.3,14.9,103,86.3,0,11.7029,13.76,NULL,0.1,0.1,7.9,8.5,1213.225003
2017-12-29 0:45:00,204.8031624,221.8797508,0,8,48,14.8,108.5,86.3,0,9.90247,13.6,NULL,0.1,12.4,11.7,8.5,1439.430003
2017-12-29 0:30:00,226.8590225,208.0999969,5.9,45.6,46.8,14.8,106.6,89.6,0,0,13.44,NULL,0.1,0.1,17.8,9,5033.207511
2017-12-29 0:15:00,195.7301119,232.7597618,24.2,11,0,14.8,116.5,89,13.2,13.5034,13.44,NULL,0.1,0.1,17,9,5568.862526
2017-12-29 0:00:00,177.1702462,233.3398438,12,0,45.2,14.8,114,86.5,0,9.90247,13.44,NULL,0.1,0.1,21.6,9,2339.707484
